Country,AccentCity,Population,Latitude,Longitude
Andorra,Andorra la Vella,20430,42.5,1.5166667
Andorra,Canillo,3292,42.5666667,1.6
Andorra,Encamp,11224,42.5333333,1.5833333
Andorra,La Massana,7211,42.55,1.5166667
Andorra,Les Escaldes,15854,42.5,1.5333333
Andorra,Ordino,2553,42.55,1.5333333
Andorra,Sant Julià de Lòria,8020,42.4666667,1.5
United Arab Emirates,Abu Dhabi,603687,24.466667,54.366667
United Arab Emirates,Dubai,1137376,25.258172,55.304717
United Arab Emirates,Sharjah,543942,25.35731,55.403304
Afghanistan,Acin,15098,34.082481,70.668152
Afghanistan,Anar Darreh,10023,32.758698,61.653969
Afghanistan,Andarab,27034,35.633484,69.260195
Afghanistan,Asadabad,48400,34.873113,71.14697
Afghanistan,Asmar,15708,35.033328,71.358087
Afghanistan,Aybak,47877,36.26468,68.015512
Afghanistan,Azrow,12526,34.173553,69.645728
Afghanistan,Baglan,108481,36.130684,68.708286
Afghanistan,Bagrami,30256,34.493761,69.274274
Afghanistan,Baraki Barak,22305,33.9675,68.948611
Afghanistan,Cah Ab,23424,37.397734,69.814644
Afghanistan,Carikar,53693,35.016585,69.174011
Afghanistan,Ciras,12778,35.416737,65.982341
Afghanistan,Dawlatabad,13603,36.432589,64.920713
Afghanistan,Dawlatabad,17674,36.98782,66.82066
Afghanistan,Deh Rawud,25683,32.624131,65.459659
Afghanistan,Eskasem,12120,36.706932,71.570658
Afghanistan,Farah,43574,32.374508,62.116383
Afghanistan,Gardan Diwal,6815,34.508977,68.260739
Afghanistan,Gardez,103732,33.597439,69.225922
Afghanistan,Gazni,143049,33.550833,68.4225
Afghanistan,Geresk,43638,31.820894,64.570048
Afghanistan,Herat,272880,34.348167,62.199673
Afghanistan,Jalalabad,200389,34.426468,70.45153
Afghanistan,Jurm,12121,36.864768,70.834207
Afghanistan,Kabul,3043589,34.516667,69.183333
Afghanistan,Kholm,64954,36.697362,67.698255
Afghanistan,Khowst,96246,33.339512,69.92041
Afghanistan,Kuhestan,12087,34.653889,61.197778
Afghanistan,Kusk,16952,33.29565,61.952206
Afghanistan,Lar Gerd,11635,35.489361,66.664088
Afghanistan,Mehtar Lam,17350,34.671389,70.209444
Afghanistan,Mirabad,14160,30.436244,61.838304
Afghanistan,Nahrin,22389,36.064904,69.13343
Afghanistan,Nuristan,17072,34.95,70.4
Afghanistan,Orgun,10665,32.901111,69.152798
Afghanistan,Pagman,49173,34.5875,68.953333
Afghanistan,Panjab,13471,34.387949,67.023273
Afghanistan,Qandahar,391230,31.613323,65.710126
Afghanistan,Qarchi Gak,8942,37.039988,66.788912
Afghanistan,Qarqin,15023,37.404464,66.074375
Afghanistan,Qunduz,161943,36.728955,68.857001
Afghanistan,Rostaq,25644,37.126035,69.83045
Afghanistan,Rudbar,11034,30.15,62.6
Afghanistan,Sahrak,15967,34.107375,64.305199
Afghanistan,Sangin,13579,32.072752,64.835903
Afghanistan,Sar-e Pul,52138,36.215443,65.932487
Afghanistan,Sharan,7368,33.146667,68.791667
Afghanistan,Shibarghan,55658,36.667567,65.752904
Afghanistan,Sindand,29273,33.302944,62.1474
Afghanistan,Tagab,6400,34.855007,69.64917
